model,MAE,RMSE,R2
CatBoostRegressor,0.035540589563064634,0.12774446991348506,0.8734490537324331
RandomForest,0.06818971602727385,0.2059515909870941,0.7346319700579031
CatBoost,0.07218431468884728,0.20551823085462076,0.7491991773399794
XGBRegressor,0.07320513551994423,0.206664059467496,0.7337477463036903
LinearRegression,0.12034742431861317,0.2622557309587691,0.46525284271136935
NaiveLastHour,0.16472131527167413,0.4608978654971415,-0.2775438992816741
BaselineMean,0.2172915486988035,0.38493778682095237,-0.0004297990500384541
SeasonalWeekly,0.21850401754717838,0.4110961141569675,-0.006094505993748976
PoissonGLM,0.2198368071794076,0.3995194167243228,0.05172836500019226
NaiveMean,0.23691019948122888,0.4104223299438821,-0.0006531491339195149
xgboost-multiclass,,,
xgboost-multiclass + class_weight,,,
xgboost-multiclass + class_weight (leak-proof),,,
